INDICATIVO;A�O;MES;DIA;NOMBRE;ALTITUD;C_X;C_Y;NOM_PROV;LONGITUD;LATITUD;HU00;HU07;HU13;HU18;HUMAX;HUMIN
B087X;2018;10;6;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;71;85;76;70;89;61
B087X;2018;10;7;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;70;66;80;82;92;49
B087X;2018;10;8;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;86;93;82;87;100;75
B087X;2018;10;9;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;91;94;61;100;100;55
B087X;2018;10;10;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;87;84;69;96;96;61
B087X;2018;10;11;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;92;94;81;95;97;78
B087X;2018;10;12;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;87;86;78;96;99;73
B087X;2018;10;13;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;98;98;79;95;100;75
B087X;2018;10;14;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;80;79;62;72;96;61
B087X;2018;10;15;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;84;92;86;80;99;63
B087X;2018;10;16;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;77;73;61;75;87;58
B087X;2018;10;17;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;84;85;96;98;100;77
B087X;2018;10;18;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;95;97;84;94;100;76
B087X;2018;10;19;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;90;99;97;94;100;87
B087X;2018;10;20;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;97;100;89;88;100;74
B087X;2018;10;21;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;76;94;84;94;97;76
B087X;2018;10;22;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;97;94;77;82;98;71
B087X;2018;10;23;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;83;67;67;78;NA;NA
B087X;2018;10;24;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;92;88;72;46;94;44
B087X;2018;10;25;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;67;67;75;72;81;45
B087X;2018;10;26;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;53;77;61;70;78;44
B087X;2018;10;27;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;68;88;100;100;100;68
B087X;2018;10;28;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;100;90;91;100;100;81
B087X;2018;10;29;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;100;74;65;59;100;45
B087X;2018;10;30;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;51;57;49;78;93;47
B087X;2018;10;31;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;78;85;86;78;94;67
B103B;2018;10;1;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;92;71;56;56;95;52
B103B;2018;10;2;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;66;66;43;59;80;42
B103B;2018;10;3;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;65;55;52;62;83;45
B103B;2018;10;4;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;83;57;53;68;90;51
B103B;2018;10;5;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;90;90;63;69;92;58
B103B;2018;10;6;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;85;93;59;72;94;59
B103B;2018;10;7;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;78;57;60;72;92;55
B103B;2018;10;8;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;92;66;65;70;94;55
B103B;2018;10;9;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;94;96;56;95;96;50
B103B;2018;10;10;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;90;87;71;79;95;63
B103B;2018;10;11;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;94;96;66;85;96;65
B103B;2018;10;12;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;92;95;67;90;96;64
B103B;2018;10;13;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;89;95;60;82;95;58
B103B;2018;10;14;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;80;79;67;85;94;63
B103B;2018;10;15;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;92;87;93;88;94;56
B103B;2018;10;16;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;94;80;55;70;95;52
B103B;2018;10;17;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;91;95;84;86;96;70
B103B;2018;10;18;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;89;89;64;93;94;63
B103B;2018;10;19;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;94;92;68;91;95;64
B103B;2018;10;20;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;94;95;64;91;95;64
B103B;2018;10;21;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;86;95;69;78;95;66
B103B;2018;10;22;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;95;85;66;69;96;61
B103B;2018;10;23;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;91;74;56;67;95;51
B103B;2018;10;24;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;94;95;71;87;96;68
B103B;2018;10;25;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;95;96;62;87;96;62
B103B;2018;10;26;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;94;90;63;80;95;61
B103B;2018;10;27;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;94;90;94;92;96;84
B103B;2018;10;28;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;90;92;73;83;95;66
B103B;2018;10;29;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;87;71;52;50;92;34
B103B;2018;10;30;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;36;50;46;89;95;34
B103B;2018;10;31;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;69;78;81;68;91;61
B103B;2018;12;11;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;99;100;80;95;100;77
B087X;2019;1;30;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;62;65;57;55;68;42
B013X;2019;1;30;LLUC;490;1003867;4424762;BALEARES;253091;394924;67;66;49;68;81;49
