INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;C_X;C_Y;NOM_PROV;LONGITUD;LATITUD;HU00;HU07;HU13;HU18;HUMAX;HUMIN;
B087X;2018;12;20;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;78;82;64;82;92;63;
B087X;2018;12;21;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;92;81;74;64;95;55;
B087X;2018;12;22;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;70;73;79;95;95;65;
B087X;2018;12;24;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;87;96;74;93;100;71;
B087X;2018;12;26;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;90;93;74;96;98;74;
B087X;2018;12;27;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;97;0;80;93;98;74;
B087X;2018;12;28;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;86;85;83;89;93;76;
B087X;2018;12;30;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;97;0;75;95;99;72;
B103B;2018;12;14;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;97;92;68;89;99;67;
B103B;2018;12;15;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;84;82;65;89;96;55;
B103B;2018;12;18;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;95;98;64;75;99;63;
B103B;2018;12;21;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;97;98;71;75;100;70;
B103B;2018;12;24;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;100;100;67;95;NA;NA;
B103B;2018;12;25;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;99;77;72;95;100;65;
B103B;2018;12;26;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;99;89;71;94;100;69;
B103B;2018;12;27;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;97;100;60;91;100;60;
B103B;2018;12;28;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;96;97;75;92;99;70;
B103B;2018;12;29;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;96;98;75;90;100;69;
B158X;2018;12;5;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;92;94;90;88;96;84
B158X;2018;12;6;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;93;96;68;81;96;59
B158X;2018;12;9;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;89;92;67;63;94;52
B158X;2018;12;10;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;65;88;78;86;93;65
B158X;2018;12;11;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;93;95;85;0;96;80
B158X;2018;12;14;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;93;0;78;85;96;76
B158X;2018;12;15;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;94;80;69;81;95;67
B158X;2018;12;18;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;87;94;75;84;94;71
B158X;2018;12;19;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;93;96;82;86;96;77
B158X;2018;12;20;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;92;92;71;82;94;70
B158X;2018;12;21;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;92;95;81;78;96;77
B158X;2018;12;22;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;87;94;82;88;95;79
B158X;2018;12;23;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;94;95;88;90;97;80
B158X;2018;12;24;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;96;97;79;86;97;66
B158X;2018;12;25;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;93;93;75;85;94;67
B158X;2018;12;26;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;93;95;82;88;96;78
B158X;2018;12;27;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;96;97;81;88;97;78
B158X;2018;12;28;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;93;94;83;89;94;81
B158X;2018;12;30;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;90;95;69;82;95;64
B013X;2018;12;18;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;90;85;50;90;42;
B013X;2018;12;19;LLUC;490;1003867;4424762;BALEARES;253091;394924;74;70;85;79;88;59;
B013X;2018;12;20;LLUC;490;1003867;4424762;BALEARES;253091;394924;73;88;85;84;90;56;
B013X;2018;12;21;LLUC;490;1003867;4424762;BALEARES;253091;394924;91;90;85;0;91;48;
B013X;2018;12;22;LLUC;490;1003867;4424762;BALEARES;253091;394924;91;0;85;86;91;49;
B013X;2018;12;23;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;89;85;86;90;54;
B013X;2018;12;24;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;0;85;0;91;43;
B013X;2018;12;25;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;90;85;81;90;40;
B013X;2018;12;26;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;89;85;86;90;54;
B013X;2018;12;27;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;0;85;86;91;77;
B013X;2018;12;28;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;89;85;86;89;67;
B013X;2018;12;29;LLUC;490;1003867;4424762;BALEARES;253091;394924;89;88;85;86;90;57;
B013X;2018;12;30;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;84;85;70;90;34;
B013X;2018;12;31;LLUC;490;1003867;4424762;BALEARES;253091;394924;56;37;85;71;82;35;
B087X;2018;12;31;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;83;43;71;58;93;35;
B103B;2018;12;31;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;87;31;60;91;97;31;
B158X;2018;12;31;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;86;0;63;80;91;58
B087X;2018;12;2;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;81;71;59;70;89;55;
B087X;2018;12;4;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;57;77;84;78;88;52;
B087X;2018;12;10;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;71;87;83;93;97;71;
B087X;2018;12;11;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;97;98;81;91;99;79;
B087X;2018;12;12;BANYALBUFAR;60;972832;4407816;BALEARES;230461;394121;92;94;62;80;95;59;
B103B;2018;12;2;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;95;99;64;93;100;62;
B103B;2018;12;3;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;96;100;69;0;100;59;
B103B;2018;12;7;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;91;98;72;90;100;71;
B103B;2018;12;8;ANDRATX - SANT ELM;57;961216;4394846;BALEARES;222081;393445;97;63;53;0;100;51;
B158X;2018;12;1;CALVIÃ€; ES CAPDELLÃ€;50;969785;4392268;BALEARES;227591;393305;91;74;63;78;92;61
B013X;2018;8;1;LLUC;490;1003867;4424762;BALEARES;253091;394924;84;81;85;44;89;30;
B013X;2018;8;2;LLUC;490;1003867;4424762;BALEARES;253091;394924;75;68;85;46;86;38;
B013X;2018;8;3;LLUC;490;1003867;4424762;BALEARES;253091;394924;78;75;85;52;83;34;
B013X;2018;8;4;LLUC;490;1003867;4424762;BALEARES;253091;394924;79;64;85;39;84;31;
B013X;2018;8;5;LLUC;490;1003867;4424762;BALEARES;253091;394924;60;65;85;36;80;33;
B013X;2018;8;6;LLUC;490;1003867;4424762;BALEARES;253091;394924;68;60;85;61;84;38;
B013X;2018;8;7;LLUC;490;1003867;4424762;BALEARES;253091;394924;83;54;85;72;87;41;
B013X;2018;8;8;LLUC;490;1003867;4424762;BALEARES;253091;394924;87;71;85;61;88;41;
B013X;2018;8;9;LLUC;490;1003867;4424762;BALEARES;253091;394924;84;64;85;68;90;44;
B013X;2018;8;10;LLUC;490;1003867;4424762;BALEARES;253091;394924;90;86;85;84;90;71;
B013X;2018;8;11;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;86;85;75;89;58;
B013X;2018;8;12;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;73;85;59;89;42;
B013X;2018;8;13;LLUC;490;1003867;4424762;BALEARES;253091;394924;81;59;85;77;87;35;
B013X;2018;8;14;LLUC;490;1003867;4424762;BALEARES;253091;394924;83;89;85;78;89;67;
B013X;2018;8;15;LLUC;490;1003867;4424762;BALEARES;253091;394924;83;79;85;66;88;47;
B013X;2018;8;16;LLUC;490;1003867;4424762;BALEARES;253091;394924;88;89;85;75;89;51;
B013X;2018;8;17;LLUC;490;1003867;4424762;BALEARES;253091;394924;87;88;85;89;89;53;
